date,Axis Bluechip,ICICI Bluechip,Kotak Bluechip,Nippon Large Cap,SBI Bluechip
2012-12-31,23.992,,,,
2013-01-01,23.9979,,,,
2013-01-02,24.0036,15.0253,,14.6967,103.0059
2013-01-03,24.0092,15.0737,,14.7305,103.0306
2013-01-04,24.0147,15.0702,,14.8037,103.0619
2013-01-06,24.0258,,,,
2013-01-07,24.0314,15.0913,30.6076,14.7718,103.1408
2013-01-08,24.0369,15.1146,30.6239,14.7197,103.1663
2013-01-09,24.0424,15.0517,30.6492,14.7249,103.1897
2013-01-10,24.0479,15.0619,30.6784,14.6784,103.2132
2013-01-11,24.0534,14.8886,30.6305,14.6421,103.2385
2013-01-13,24.0643,,,,
2013-01-14,24.0698,14.9767,30.6862,14.7844,103.3225
2013-01-15,24.0754,14.9813,30.6993,14.8315,102.9223
2013-01-16,24.0809,14.8752,30.6804,14.6876,102.9421
2013-01-17,24.0863,14.8214,30.6565,14.7703,102.9691
2013-01-18,24.0918,14.7954,30.658,14.8654,102.9932
2013-01-20,24.1028,,,,
2013-01-21,24.1084,14.7538,30.6574,14.9285,103.0662
2013-01-22,24.1139,14.7072,30.6627,14.8574,103.0909
2013-01-23,24.1194,14.6961,30.6688,14.7986,103.1145
2013-01-24,24.1249,14.6124,30.6574,14.6226,103.1411
2013-01-25,,14.7695,30.6611,14.7605,
2013-01-27,24.1413,,,,
2013-01-28,24.1468,14.7769,30.6878,14.7737,103.2351
2013-01-29,24.1522,14.7946,30.674,14.681,102.9384
2013-01-30,24.1577,14.7706,30.6441,14.6583,102.959
2013-01-31,24.1631,14.7326,30.6763,14.6179,102.9778
2013-02-01,24.1686,14.6961,30.7201,14.5671,102.9976
2013-02-03,24.1795,,,,
2013-02-04,24.1849,14.7065,30.7231,14.5479,103.0659
2013-02-05,24.1903,14.6435,30.6673,14.4313,103.0886
2013-02-06,24.1959,14.7026,30.7067,14.4775,103.1119
2013-02-07,24.2013,14.6822,30.6882,14.4048,103.1356
2013-02-08,24.2067,14.6145,30.6813,14.3212,103.1594
2013-02-10,24.2174,,,,
2013-02-11,24.223,14.5489,30.5643,14.2908,103.2303
2013-02-12,24.2284,14.5546,30.6846,14.3298,103.2523
2013-02-13,24.2338,14.6106,30.693,14.3617,103.2745
2013-02-14,24.2392,14.5047,30.648,14.1541,103.2937
2013-02-15,24.2446,14.4666,30.6442,14.1364,102.9522
2013-02-17,24.2554,,,,
2013-02-18,24.2609,14.4915,30.6588,14.1843,103.0229
2013-02-19,24.2664,14.6114,30.6778,14.2926,
2013-02-20,24.2719,14.6159,30.7038,14.2782,103.0725
2013-02-21,24.2773,14.4163,30.6841,14.0679,103.0965
2013-02-22,24.2828,14.4423,30.6784,14.0985,103.1226
2013-02-24,24.2938,,,,
2013-02-25,24.2993,14.401,30.8655,14.0828,103.1919
2013-02-26,24.3047,14.2049,30.8517,13.8873,103.2097
2013-02-27,24.3102,14.2879,30.8692,13.9873,103.2322
2013-02-28,24.3157,14.1092,30.8823,13.7174,103.254
2013-03-01,24.3212,14.238,30.8771,13.8247,102.9714
2013-03-03,24.3322,,,,
2013-03-04,24.3377,14.1535,30.9006,13.7577,103.0478
2013-03-05,24.3433,14.3051,30.9255,13.9807,103.0786
2013-03-06,24.3489,14.3669,30.9339,14.0779,103.1012
2013-03-07,24.3546,14.4921,30.9351,14.1368,103.129
2013-03-08,24.3601,14.6971,30.9455,14.2733,103.1462
2013-03-10,24.3714,,,,
2013-03-11,24.377,14.7309,30.9535,14.2265,103.2199
2013-03-12,24.3827,14.69,30.9494,14.1646,103.251
2013-03-13,24.3882,14.5384,30.9439,13.9586,103.2884
2013-03-14,24.3939,14.6688,30.9591,14.1321,103.34
2013-03-15,24.3995,14.6503,30.9911,14.0574,102.9975
2013-03-17,24.4112,,,,
2013-03-18,24.4172,14.5716,30.9884,13.9688,103.0355
2013-03-19,24.423,14.3756,30.9834,13.7101,103.0632
2013-03-20,24.4287,14.1918,30.9819,13.4866,103.1016
2013-03-21,24.4344,14.1287,30.9869,13.4908,103.157
2013-03-22,24.4402,14.0638,30.9812,13.4563,103.1891
2013-03-24,24.4518,,,,
2013-03-25,24.4577,14.0211,30.9981,13.4002,103.2114
2013-03-26,24.464,14.0945,30.9902,13.4772,103.2285
2013-03-27,24.4699,,,,
2013-03-28,24.4795,14.1991,31.0136,13.578,103.2633
2013-03-29,,,31.0185,,
2013-04-01,24.5163,14.231,31.055,13.6324,
2013-04-02,24.5294,14.3768,31.0775,13.8124,103.2626
2013-04-03,24.5363,14.2929,31.0919,13.6549,103.3274
2013-04-04,24.5419,14.0601,31.0996,13.4167,103.4096
2013-04-05,24.548,14.0479,31.0949,13.4782,103.4164
2013-04-07,24.559,0.0,,,
2013-04-08,24.5645,14.0224,31.1187,13.4526,103.462
2013-04-09,24.5702,13.9389,31.1389,13.3266,103.4716
2013-04-10,24.5758,13.9826,31.1225,13.4579,103.4653
2013-04-11,24.5815,14.0994,31.1374,13.5316,
2013-04-12,24.5872,14.0426,31.1464,13.3635,103.5704
2013-04-14,24.5986,,,,
2013-04-15,24.6045,13.985,31.1685,13.4536,103.6711
2013-04-16,24.6103,14.2436,31.1787,13.7055,103.0719
2013-04-17,24.6161,14.267,31.1958,13.7107,103.0866
2013-04-18,24.6219,14.4401,31.2408,13.9167,103.1589
2013-04-19,,,31.2458,,
2013-04-21,24.6392,,,,
2013-04-22,24.645,14.6259,31.2718,14.0431,103.216
2013-04-23,24.6507,14.5801,31.2609,13.9829,103.2481
2013-04-24,24.6565,,31.2657,,
2013-04-25,24.6623,14.7586,31.3033,14.0593,103.2947
2013-04-26,24.6681,14.7058,31.3278,14.0531,103.3139
2013-04-28,24.6796,,,,
2013-04-29,24.6855,14.8289,31.3398,14.1084,103.3845
2013-04-30,24.6913,14.8945,31.3503,14.1086,103.0655
2013-05-01,24.6971,,,,
2013-05-02,24.7029,15.1032,31.3834,14.229,103.2057
2013-05-03,24.7088,15.0518,31.3656,14.1115,103.2082
2013-05-05,24.7203,,,,
2013-05-06,24.726,15.1497,31.3995,14.2356,103.2821
2013-05-07,24.7318,15.2704,31.4319,14.3852,103.3087
2013-05-08,24.7375,15.3597,31.4751,14.3518,103.3404
2013-05-09,24.7432,15.2634,31.4968,14.2864,103.3949
2013-05-10,24.7491,15.3358,31.4982,14.3731,103.4157
2013-05-12,24.7604,,,,
2013-05-13,24.7661,15.1284,31.4879,14.1432,103.4824
2013-05-14,24.7718,15.2336,31.5705,14.2231,103.5159
2013-05-15,24.7776,15.5617,31.5899,14.5276,103.113
2013-05-16,24.7833,15.5917,31.5827,14.5877,103.141
2013-05-17,24.7891,15.6811,31.5851,14.6518,103.1745
2013-05-19,24.8004,,,,
2013-05-20,24.8061,15.5963,31.5989,14.5075,103.2356
2013-05-21,24.8118,15.4753,31.5881,14.395,103.2444
